上级地址,用户地址,总存数量,总提数量,未释放量,团队收益,未提收益,放大总量,
,THi98WKaihhjetbZwf4mthMLMNbyT6xSJv,0,0,0,0,0,0,
TZJA2t2PQJrvEFZdsuXtxxDGT43gQqotSp,TLyARF471z1Ui7aH2VmFsGT4uJuWhSSDQk,210.46,249.9542521,170.965748,0,0,420.92,
TZJA2t2PQJrvEFZdsuXtxxDGT43gQqotSp,TQTWSdYx6xr6Rhy9bePdXwYx8wWXbmAq3e,959.93,1756.206234,163.6537657,0,0,1919.86,
TZHLJ4upEykV99qWZrSim3rYDR7mXMzmP3,TUyrNb7hyQJZd3gq26Z7c9jCdJwyAzNgTT,2380.01,997.8507212,3784.5703788,0,0,4760.02,
TZGqL2gwxKD6fceU69dW6WrcBpU1xe6ZVp,THcLz2C3PE7UCq2UDjwqM6zQVeczTEkJRc,139,136.4300183,141.56998199,0,0,278,
TZGfZvNikqd9EHygWMhjx8w4cMJGtE6TUz,TUwTH1Ch7hMqL3ZEejMAfFAAWkjPEnDKRs,677.85,1178.127076,177.57292427,0,0,1355.7,
TZFisbRdD4WD65Zi1cQEWUmJBQdYQj7bTs,TK1YZqpseeQZn1E3vRcqMtoHhzBXpfnHVF,2005.61,523.1503651,3488.069636,0,0,4011.22,
TZEm5cPbSkCsWx6NzaCy4rDLBxemFDn5bt,TU9wfXSyhRovSDiC4Yv9ptzKrBNMHzV9K6,481.9,948.5259394,15.27406201,0,0,963.8,
TZDaoq6mdg9kVkRNdbhBi3oDQsEhbar7et,TK4u6wjxuNSztU3wXCxx36oVy9HGzAj5PB,421.95,219.2725901,624.62740989,0,0,843.9,
TZDaoq6mdg9kVkRNdbhBi3oDQsEhbar7et,TPBsPZpFKRZvnPeNBbNU2yiPtLrEjL5jF5,530,503.7054013,629.88605993,0,0,1060,
TZDaoq6mdg9kVkRNdbhBi3oDQsEhbar7et,TYxB8N9n7kHcc9QBcQMaWErCyAfFBWq4NU,2350.1,4532.031871,168.16813004,0,0,4700.2,
TZDaoq6mdg9kVkRNdbhBi3oDQsEhbar7et,TGomgdFSobH8VQKmkQgVCAE4wHE3QzU2Qa,2744.4,1337.503071,4991.50307251,0,0,5488.8,
TZDaoq6mdg9kVkRNdbhBi3oDQsEhbar7et,TSxTaY4HJPYz1oHzfZ1uNkpVSFXvSEmcak,22130,14712.00008,30028.24719728,0,0,44260,
TZDaoq6mdg9kVkRNdbhBi3oDQsEhbar7et,TVPW2DvJHKFvf3RCfhNEfGvYZTQZmLdPE1,22783,15626.07704,30085.76319676,0,0,45566,
TZDaoq6mdg9kVkRNdbhBi3oDQsEhbar7et,TLwiNXGkyCvHJeKDRL1i7CuFq56iiZNKGc,69011.3,137340.891,681.7090382,0,0,138022.6,
TZCYbDsyGydiLgkCHEAqTTKTH4DAUESzQL,TBqSHuNm1YDpVwLUnZKMxQPV1Dh1E4bnFG,276,180.9311842,500.93118428,0,0,552,
TZCYbDsyGydiLgkCHEAqTTKTH4DAUESzQL,TH78y1bX9RbsjFhBQeSeJM2TryLUGna7V5,298.47,81.77346014,515.1665399,0,0,596.94,
TZCsvPyUZUMWi1HWUfNU46ZmDFpw7oCNHb,TSCToKAV176jPeMahWYPzVKMusY4wyL31f,802,872.2536335,731.74636943,0,0,1604,
TZCqN7QAvjY8YMfu9YtEaaTL4w4xSbiUpi,TXBzA2c1zLeRAHNyRc18vVqcJVLJfj6TVL,615.64,1210.483128,20.79687345,0,0,1231.28,
TZCC4paSmZUzvXSKT2KJHMvtk2W42b31NM,TKZbPDYzLF9YYxSsAVS9efbRmsxydfPFKB,1074.58,955.8924109,1193.26758972,0,0,2149.16,
TZ9nvG28MPbQHE8yBsQK69kY6jKXiEhiZw,TWAwqm9Nf1K4CEeBvL6aHvwLvdPvjorFji,304,213.1060551,394.89394487,0,0,608,
TZ9nvG28MPbQHE8yBsQK69kY6jKXiEhiZw,TKwgXDYrmAhnHG7KswA1mgHN9eAN2qyd6X,1268.5,192.821245,2400.82124496,0,0,2537,
TZ9erUSw6R7S9SfkZW1tAwidoXY5YBhzL3,TAKSg2baLsZEfg2PVVcFAzyd6cgL5XLdGz,268,115.7178947,420.28210536,0,0,536,
TZ98K1m8w4YVLGHkd3wj4ZnR6LH1uYnvWu,TDaHmcRJ2rvmPcpcvJs1QwCBXvdt7jCQkf,698.92,1322.1,75.74,0,0,1397.84,
TZ8YxFTzuWHtvTmM97xskstRaMJMYH6zbt,TX7LJzrR5F8HmvRDESrFNWWHUzpafb5ux2,259.63,190.8083296,328.45167047,0,0,519.26,
TZ8mBABA5tbWawzBdMZxg45kFdwHewRMKW,TQ4NR1o3d9oXvBr3Kt9MKouvTjP9JRgjED,659,600.6857967,747.21333715,0,0,1318,
TZ8mBABA5tbWawzBdMZxg45kFdwHewRMKW,TUDWW8xxruvMQ4Q1phjVJwbpJUUfY8EuZT,6433,6145.609171,6720.390831,0,0,12866,
TZ8c47ZBchosK8cEFMi8s9z4wdhnrrbjDo,TTB7NM66uhq2wYRKQNqHUuzTD492uyK3kA,2680.8,2114.790132,3314.83625656,0,0,5361.6,
TZ8c47ZBchosK8cEFMi8s9z4wdhnrrbjDo,TGvKNnEvWmh1PZrutZvstr2uDwjiDyN7VQ,7298.775949,4646.203941,10103.95876269,0,0,14597.5519,
TZ7vAMkQb64avbBypaVWEUJyRTXae8EPjg,TTY4u6KTav3dJUdBp6FQcjGQSpfxzMPqU7,1999.71,590.062487,3409.35751332,0,0,3999.42,
TZ7vAMkQb64avbBypaVWEUJyRTXae8EPjg,TREfPEW8UccdG96w44AniP4i6MfmWyh1Lo,10477.17,20773.23865,181.10134563,0,0,20954.34,
TZ7V3ZqH4hXFCuQRy3q2wE9SPvA3wCq7RR,TUnqa5BEZurvteMydXQXSKvSzwCcE5PtJY,127.83,92.4600514,163.19994858,0,0,255.66,
TZ7V3ZqH4hXFCuQRy3q2wE9SPvA3wCq7RR,TYwPWKK7nGvn7weqL81eWH9DUD21gooFBv,500,483.6367698,516.36323019,0,0,1000,
TZ6vYq9CJjBgHTvJQNRHnYBaUUnqje51by,TCj2d9HJVRk6LNxtr65i63fsCcfYkc8iAc,2462,936.5658558,3987.43414395,0,0,4924,
TZ6oBsPgBwXdAto79NaUQZ3FzuebAUaXxr,TNuCceT5s1pQpM8o6CKR1dNoiifDmYtx66,674,519.762353,828.2376471,0,0,1348,
TZ6EFLyJE4fMBbL4pae3re9h6KLvz9xLuE,TU9SaVoed3iKK1mdfTe8NdTwxFJopDprcR,143,24.87974667,261.1202534,0,0,286,
TZ5Fi6roXiRsxSs6zaQc33daFGPLNmpdsd,TSiQ5ErsugftZCXbynajX2ebvdsSLXXQoU,100,0,200,0,0,200,
TZ3UHF4MMfU5YhMojpZaFUh7fTUoxH5z5L,TGrV9ZxnNRGEGdqgKJezUaXfJV6kDZvpT2,243,297.5663736,188.43362652,0,0,486,
TZ3UHF4MMfU5YhMojpZaFUh7fTUoxH5z5L,TEtgYrQ9SDUiWLaRRRxoARi7b9rqqBVbVf,276,266.099485,285.90051526,0,0,552,
TZ3UHF4MMfU5YhMojpZaFUh7fTUoxH5z5L,THPFbE16788vDnPfdbJFKcAEiyLmhQcWiK,1255,397.9515464,2112.04845396,0,0,2510,
TZ3eedG57msdfaSuB575EPzXeuTn6Lakby,TRXH9Uf1uxT5ghNx97ffpVHKnEjbkpuyjm,104,47.05228895,160.94771109,0,0,208,
